"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4,D3,D2,D1";"SOD-323_L1.8-W1.3-LS2.5-RD";4;"BZT52C5V1S-7-F";;;
2;"J1,J5,J4,J2,J3,J6";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";6;"Conn_01x01_Male";;;
3;"R1,R4,R2,R3";"R0603";4;"0603WAF1004T5E";;;
4;"C1,C2";"CAP-SMD_BD6.3-L6.6-W6.6-FD";2;"EEEFK1J100P";;;
